"GM18558","GM18960","GM19240","Guchi","Jaqo","Jingjing"
"ENSG00000174574",77,94,75,22,46,7
"ENSG00000113108",19,20,30,16,22,16
"ENSG00000065485",7,10,64,5,2,29
"ENSG00000067066",30,54,69,28,24,40
"ENSG00000138433",45,42,18,30,34,21
"ENSG00000163558",7,8,18,6,13,12
"ENSG00000163249",10,10,111,3,5,6
"ENSG00000084693",14,14,35,20,22,108
"ENSG00000114209",74,94,59,48,65,14
"ENSG00000172936",18,18,34,11,10,8
"ENSG00000163510",34,32,80,13,36,1
"ENSG00000123545",47,104,13,36,36,35
"ENSG00000163539",9,11,25,6,12,5
"ENSG00000244038",198,320,258,158,137,16
"ENSG00000120314",17,20,26,16,25,8
"ENSG00000164068",12,10,29,6,11,7
"ENSG00000163002",19,25,18,16,11,13
"ENSG00000072858",8,13,24,2,7,2
"ENSG00000137166",23,39,12,9,16,6
"ENSG00000158987",6,7,35,3,6,1
"ENSG00000074054",18,21,13,6,16,7
"ENSG00000066279",5,14,53,3,3,28
"ENSG00000168297",10,9,11,5,16,15
"ENSG00000136715",12,15,19,7,10,3
"ENSG00000198586",53,49,76,23,45,11
"ENSG00000169902",7,4,1,10,5,55
"ENSG00000152382",14,22,24,5,10,7
"ENSG00000248333",36,48,43,22,44,33
"ENSG00000116199",7,4,40,10,14,5
"ENSG00000143458",3,5,31,1,3,9
"ENSG00000175455",13,13,27,9,13,9
"ENSG00000119013",37,62,74,28,27,133
"ENSG00000071054",4,5,22,13,29,22
"ENSG00000157500",30,36,31,13,29,5
"ENSG00000138802",27,30,33,13,23,8
"ENSG00000081237",20,73,74,25,10,12
"ENSG00000213523",82,105,83,47,54,194
"ENSG00000143537",16,12,29,3,7,14
"ENSG00000168906",305,237,146,59,172,11
"ENSG00000182973",35,51,48,22,22,18
"ENSG00000097021",35,82,49,22,9,28
"ENSG00000090989",19,20,20,18,22,16
"ENSG00000115942",13,23,25,5,9,9
"ENSG00000143379",19,20,27,9,17,13
"ENSG00000163346",41,37,57,11,27,28
"ENSG00000170445",87,118,102,57,66,53
"ENSG00000070190",35,33,46,34,58,19
"ENSG00000143258",15,22,22,10,22,26
"ENSG00000163050",12,25,18,3,8,14
"ENSG00000143549",171,370,385,133,226,34
"ENSG00000113593",23,34,28,8,23,6
"ENSG00000008128",28,31,53,22,44,33
"ENSG00000116266",38,39,30,16,36,13
"ENSG00000155380",33,41,16,23,29,9
"ENSG00000123219",8,27,45,10,6,9
"ENSG00000143222",83,124,161,86,66,121
"ENSG00000138085",69,91,96,33,60,34
"ENSG00000151779",6,10,23,7,5,26
"ENSG00000035687",44,73,47,28,34,8
"ENSG00000058799",16,21,51,7,12,12
"ENSG00000160124",60,73,35,32,28,61
"ENSG00000143420",72,109,171,80,69,140
"ENSG00000033867",5,5,13,3,5,2
"ENSG00000138074",52,69,52,14,18,2
"ENSG00000115239",21,39,43,15,18,22
"ENSG00000163743",34,30,19,16,22,13
"ENSG00000143179",51,61,30,36,44,23
"ENSG00000031698",133,193,118,90,126,152
"ENSG00000114857",21,12,34,6,14,12
"ENSG00000163686",36,22,35,6,6,1
"ENSG00000143793",9,11,46,3,14,55
"ENSG00000143772",16,21,26,6,14,3
"ENSG00000173744",63,63,87,55,53,14
"ENSG00000125611",13,25,6,16,15,84
"ENSG00000136731",10,18,32,4,7,9
"ENSG00000138073",26,41,59,9,18,16
"ENSG00000077232",42,58,46,21,28,6
"ENSG00000105793",15,37,23,12,18,11
"ENSG00000115211",30,40,48,27,33,64
"ENSG00000180376",10,8,32,4,10,16
"ENSG00000163947",8,9,22,16,5,12
"ENSG00000112941",30,16,16,3,10,3
"ENSG00000134717",59,70,32,22,43,31
"ENSG00000109133",34,29,30,5,11,4
"ENSG00000118246",50,47,36,26,22,26
"ENSG00000143384",82,92,193,34,40,24
"ENSG00000055917",29,36,38,20,25,6
"ENSG00000117862",33,49,19,24,24,14
"ENSG00000115241",112,178,129,89,83,107
"ENSG00000005486",9,18,44,10,9,28
"ENSG00000152332",23,15,51,7,21,5
"ENSG00000118263",7,5,28,5,5,9
"ENSG00000159176",30,46,43,65,45,3
"ENSG00000186501",21,31,9,7,16,10
"ENSG00000160688",18,34,29,12,9,25
"ENSG00000162385",91,139,101,53,64,100
"ENSG00000007923",44,52,38,21,30,21
"ENSG00000119285",33,47,34,17,25,17
"ENSG00000181061",49,106,104,35,80,34
"ENSG00000168958",35,55,58,17,26,28
"ENSG00000158796",21,11,47,18,29,7
"ENSG00000054523",3,4,17,3,3,8
"ENSG00000077585",33,29,54,42,38,20
"ENSG00000143515",9,18,30,5,7,9
"ENSG00000112992",24,50,40,22,24,6
"ENSG00000135535",235,186,118,48,140,15
"ENSG00000057935",18,21,36,12,9,22
"ENSG00000197860",12,12,36,6,11,9
"ENSG00000151806",18,20,32,10,16,9
"ENSG00000169087",6,9,20,2,4,9
"ENSG00000074800",1039,1914,1194,671,1146,1268
"ENSG00000138399",33,44,32,16,21,36
"ENSG00000113141",164,180,140,122,154,152
"ENSG00000134697",55,87,56,57,29,71
"ENSG00000176783",28,41,24,17,19,11
"ENSG00000073331",8,7,20,2,3,8
"ENSG00000123600",3,17,27,12,9,10
"ENSG00000109670",17,32,53,9,9,9
"ENSG00000127022",220,305,186,91,131,36
"ENSG00000114353",187,304,200,135,177,118
"ENSG00000068697",163,110,72,31,89,22
"ENSG00000154511",5,9,6,2,4,16
"ENSG00000173531",6,5,12,2,2,1
"ENSG00000145715",24,20,51,6,18,17
"ENSG00000168291",70,89,62,38,40,36
"ENSG00000138413",34,87,74,14,16,6
"ENSG00000117519",44,43,10,30,47,9
"ENSG00000112561",56,86,78,76,56,46
"ENSG00000116209",76,97,91,22,34,42
"ENSG00000001084",34,20,36,13,19,13
"ENSG00000153827",61,66,87,34,55,25
"ENSG00000134690",11,41,34,12,9,9
"ENSG00000273217",10,5,19,3,6,1
"ENSG00000042445",7,18,27,11,14,2
"ENSG00000114030",25,27,38,17,24,16
"ENSG00000146007",62,110,94,67,101,47
