"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"ENSG00000167491",18,25,12,34,20,10
"ENSG00000104872",49,78,86,36,25,13
"ENSG00000164548",52,49,88,54,49,41
"ENSG00000104219",10,15,21,9,6,12
"ENSG00000241962",22,40,61,45,27,20
"ENSG00000134574",45,59,65,56,42,37
"ENSG00000102786",49,33,50,54,41,34
"ENSG00000130755",34,76,107,130,46,78
"ENSG00000198663",22,16,26,44,16,28
"ENSG00000157916",79,83,104,106,57,64
"ENSG00000101361",121,186,124,157,72,71
"ENSG00000115365",9,14,18,24,13,20
"ENSG00000005339",19,19,22,19,17,10
"ENSG00000111676",28,27,22,45,34,21
"ENSG00000155545",10,6,28,11,7,5
"ENSG00000189376",43,40,42,19,12,4
"ENSG00000080845",19,31,10,45,11,20
"ENSG00000169902",7,4,1,24,11,12
"ENSG00000113593",23,34,28,32,26,20
"ENSG00000054267",25,21,32,26,24,11
"ENSG00000170606",131,233,148,355,171,138
"ENSG00000164048",8,8,26,5,7,6
"ENSG00000166337",83,77,111,100,89,21
"ENSG00000123545",47,104,13,66,35,47
"ENSG00000188732",3,6,21,3,3,1
"ENSG00000125089",15,13,16,20,12,7
"ENSG00000107140",29,22,24,44,21,9
"ENSG00000119321",24,36,34,50,27,20
"ENSG00000204946",10,4,21,9,9,3
"ENSG00000076924",47,51,27,48,25,7
"ENSG00000109756",10,10,25,20,12,11
"ENSG00000125755",44,75,48,106,41,32
"ENSG00000101350",12,15,8,21,16,11
"ENSG00000180900",13,28,5,59,35,22
"ENSG00000169249",16,20,25,27,11,16
"ENSG00000171475",13,10,39,32,10,13
"ENSG00000125485",27,19,16,24,15,12
"ENSG00000143727",72,80,126,87,66,87
"ENSG00000165475",31,29,26,30,9,20
"ENSG00000185963",12,8,8,24,10,11
"ENSG00000143751",14,13,36,27,12,12
"ENSG00000167333",10,8,15,9,6,2
"ENSG00000073921",28,29,27,37,22,19
"ENSG00000038210",12,29,42,28,11,21
"ENSG00000179152",5,6,29,4,3,7
"ENSG00000127463",23,17,43,31,18,12
"ENSG00000122970",10,11,18,9,4,19
"ENSG00000154144",29,29,43,53,29,50
"ENSG00000255835",49,126,53,80,33,24
"ENSG00000157379",19,24,20,24,13,24
"ENSG00000111581",32,55,53,36,15,19
"ENSG00000165359",16,8,11,7,5,18
"ENSG00000100075",36,65,30,66,40,27
"ENSG00000090924",22,11,2,48,32,12
"ENSG00000143951",96,153,318,4,2,11
"ENSG00000065526",22,17,20,33,27,12
"ENSG00000172009",34,94,48,52,16,22
"ENSG00000167658",786,1320,672,859,579,261
"ENSG00000048740",25,29,58,17,24,12
"ENSG00000005812",12,22,4,15,14,9
"ENSG00000118096",18,22,26,30,18,21
"ENSG00000167770",84,114,235,252,120,104
"ENSG00000100479",4,14,15,15,2,6
"ENSG00000164258",54,78,64,116,72,47
"ENSG00000168303",33,63,132,104,9,40
"ENSG00000143569",75,112,76,133,87,58
"ENSG00000163346",41,37,57,106,54,18
"ENSG00000154122",6,7,15,11,7,11
"ENSG00000148248",56,70,22,130,91,56
"ENSG00000124172",368,701,430,1161,648,504
"ENSG00000132589",5,51,52,31,22,10
"ENSG00000124160",24,34,34,45,19,12
"ENSG00000111863",2,4,18,4,4,3
"ENSG00000137168",28,72,49,137,36,53
"ENSG00000133393",25,19,1,25,16,18
"ENSG00000124596",13,20,34,44,24,20
"ENSG00000185344",31,32,40,29,16,14
"ENSG00000169679",13,46,58,45,7,20
"ENSG00000114030",25,27,38,41,27,25
"ENSG00000132680",47,33,28,56,34,26
"ENSG00000169062",10,10,24,17,6,13
"ENSG00000163807",20,30,20,36,16,59
"ENSG00000156508",3140,2562,10086,12325,6133,8719
"ENSG00000170445",87,118,102,137,59,69
"ENSG00000149657",28,29,44,30,17,7
"ENSG00000004399",2,2,24,3,1,5
"ENSG00000120254",27,44,27,33,17,17
"ENSG00000100360",9,20,23,12,4,3
"ENSG00000196975",64,90,75,134,63,48
"ENSG00000241343",568,860,912,456,281,312
"ENSG00000106244",63,227,168,131,84,61
"ENSG00000100372",22,29,37,38,15,9
"ENSG00000102753",31,42,49,75,36,30
"ENSG00000165782",46,54,36,51,32,37
"ENSG00000115677",122,184,170,302,207,135
"ENSG00000130749",10,10,12,12,7,2
"ENSG00000109084",14,36,86,44,21,56
"ENSG00000109180",78,109,75,66,53,50
"ENSG00000213465",68,131,41,56,17,13
"ENSG00000116815",52,94,101,87,46,94
"ENSG00000137171",19,21,23,12,15,9
"ENSG00000004864",12,13,51,27,13,9
"ENSG00000162337",7,13,10,13,2,4
"ENSG00000104388",68,63,36,97,88,31
