"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"LTR85c",65,33,0,486,239,95
"LTR86A1",189,44,11,138,56,20
"LTR86A2",17,21,0,61,15,2
"LTR86B1",23,5,0,76,21,3
"LTR86B2",8,3,41,59,5,17
"LTR86C",39,13,23,276,73,48
"LTR87",159,66,29,142,63,32
"LTR88a",54,70,23,3143,936,1312
"LTR88b",68,52,160,2301,1199,694
"LTR88c",22,14,14,110,51,24
"LTR89",145,61,46,188,133,60
"LTR8",568,301,388,2743,756,434
"LTR8A",394,181,141,711,284,162
"LTR90A",53,42,0,128,52,26
"LTR90B",26,14,0,169,37,14
"LTR9",159,93,59,516,290,136
"LTR9B",38,20,37,590,234,214
"Looper",398,148,86,191,75,25
"MADE1",333,179,310,1510,649,494
"MADE2",187,79,54,346,112,644
"MARNA",817,537,672,1219,387,327
"MER101-int",307,150,13,208,88,67
"MER101",95,38,38,42,18,1
"MER101B",23,4,4,99,22,27
"MER102a",402,194,11,582,158,151
"MER102b",600,294,207,909,400,283
"MER102c",381,223,301,1551,492,414
"MER103C",1068,603,543,2458,866,814
"MER104",333,166,257,363,167,79
"MER105",156,57,42,121,33,10
"MER106A",62,10,70,263,81,43
"MER106B",97,38,24,377,76,108
"MER107",91,34,0,27,10,0
"MER110-int",42,16,0,103,41,45
"MER110",53,22,0,173,89,50
"MER110A",32,25,17,87,28,68
"MER112",624,305,285,1218,461,344
"MER113",739,369,371,1835,641,611
"MER113A",191,113,84,466,181,121
"MER115",175,80,102,1270,551,430
"MER117",388,219,108,1621,732,512
"MER119",168,99,70,327,105,80
"MER11A",148,68,65,390,153,71
"MER11B",219,256,124,544,223,154
"MER11C",797,310,419,711,250,106
"MER11D",56,43,28,209,207,93
"MER121",18,5,0,187,60,82
"MER123",1,0,0,1,2,0
"MER124",70,24,35,205,127,62
"MER125",13,0,0,15,3,0
"MER126",19,17,47,30,13,15
"MER127",10,0,0,13,6,9
"MER129",5,0,0,32,10,1
"MER130",3,0,0,24,14,26
"MER131",24,12,16,197,88,129
"MER132",1,3,0,5,1,0
"MER133A",4,1,0,6,4,0
"MER133B",9,3,0,9,0,1
"MER134",0,0,0,9,5,0
"MER135",38,6,0,43,9,24
"MER136",0,0,0,2,0,0
"MER1A",792,386,271,2099,1019,657
"MER1B",1243,808,416,1420,572,239
"MER20",3090,1498,1598,5960,2170,1587
"MER20B",551,295,78,3405,609,921
"MER21-int",79,44,5,573,231,118
"MER21A",536,244,229,1009,509,390
"MER21B",535,242,219,2387,1142,504
"MER21C",970,560,688,2787,1031,788
"MER2",1477,700,476,2864,1138,2363
"MER2B",185,132,60,789,266,207
"MER30",653,305,321,844,386,243
"MER30B",13,6,0,12,4,3
"MER31-int",398,396,347,492,230,173
"MER31A",138,65,68,378,196,142
"MER31B",214,103,68,1280,468,373
"MER33",1699,891,675,3077,1354,872
"MER34-int",80,34,17,139,58,43
"MER34",136,76,120,538,167,193
"MER34A1",77,48,53,147,37,13
"MER34A",155,63,88,233,97,36
"MER34B-int",248,205,71,180,46,64
"MER34B",58,22,30,166,42,36
"MER34C2",105,35,14,705,222,228
"MER34C",14,1,12,10,2,0
"MER34C_",220,124,9,93,20,33
"MER34D",29,8,12,268,145,73
"MER39",322,179,140,2221,1149,814
"MER39B",184,105,78,1405,598,434
"MER3",1585,835,650,3578,1675,1078
"MER4-int",438,137,166,3018,1539,2966
"MER41-int",266,167,126,1656,813,526
"MER41A",370,178,187,1076,555,329
"MER41B",316,160,79,2171,1052,526
"MER41C",88,38,34,363,220,121
"MER41D",83,57,32,103,28,15
"MER41E",36,42,51,175,89,30
"MER41G",30,10,9,51,13,6
"MER44A",340,202,91,406,171,163
"MER44B",282,164,174,624,237,234
"MER44C",310,369,276,326,98,115
"MER44D",82,47,43,228,75,60
"MER45A",305,144,277,861,376,196
"MER45B",97,95,73,665,352,168
"MER45C",101,29,11,680,500,197
"MER45R",51,28,19,302,204,75
"MER46C",555,303,248,722,312,212
"MER47A",539,227,97,1042,450,336
"MER47B",131,45,30,102,37,32
"MER47C",52,34,37,37,20,1
"MER48",24,18,9,52,16,0
"MER49",395,221,38,343,103,50
"MER4A1",308,113,143,3952,2152,1528
"MER4A1_",97,17,22,158,57,16
"MER4A",282,112,132,298,141,44
"MER4B-int",138,81,81,4913,3598,2006
"MER4B",162,129,151,550,272,112
"MER4C",148,79,101,151,62,64
"MER4D0",79,34,33,92,6,11
"MER4D1",174,75,1,558,189,149
"MER4D",181,58,17,438,143,88
"MER4E1",149,91,69,403,105,42
"MER4E",111,62,70,94,25,31
"MER50-int",22,19,3,248,96,90
"MER50",240,161,120,664,232,202
"MER50B",75,32,6,129,75,123
"MER50C",18,10,17,57,31,6
"MER51-int",80,30,0,574,178,69
"MER51A",151,82,18,621,334,160
"MER51B",69,33,32,272,125,75
"MER51C",43,26,1,22,11,11
"MER51D",51,23,40,67,43,14
"MER51E",32,16,8,45,17,4
"MER52-int",20,18,0,575,276,181
"MER52A",312,132,41,2501,1171,753
"MER52C",133,77,126,139,43,57
"MER52D",52,19,1,2878,1848,1418
"MER53",383,166,154,10432,3930,3121
"MER54A",291,91,123,156,38,20
"MER54B",21,16,0,191,65,53
"MER57-int",213,78,124,608,286,193
"MER57A-int",281,119,102,512,113,159
"MER57A1",76,65,75,169,53,57
"MER57B1",74,28,110,317,91,104
"MER57B2",74,21,32,805,279,204
"MER57C1",58,40,31,22,15,3
"MER57C2",34,8,16,63,17,16
"MER57D",23,30,62,375,324,255
"MER57E1",43,28,43,41,22,27
"MER57E2",4,4,0,7,0,13
"MER57E3",94,37,9,65,16,4
"MER57F",220,206,14,162,35,27
"MER58A",1883,1064,688,10135,3390,3001
"MER58B",1103,526,617,1594,546,369
"MER58C",314,140,140,626,251,138
"MER58D",111,43,30,473,218,181
"MER5A1",1643,902,767,3197,1251,790
"MER5A",3688,1881,1469,10925,4039,3293
"MER5B",2874,1773,1157,7409,3345,2735
"MER5C1",69,30,64,78,32,3
"MER5C",164,88,48,400,180,158
"MER61-int",117,64,67,729,317,122
"MER61A",29,21,26,139,46,21
