"gene","Judith","Leo","Maryke"
"480","ENSPTRG00000001201",120,72,46
"481","ENSPTRG00000001203",21,24,27
"482","ENSPTRG00000001204",3,1,8
"483","ENSPTRG00000001206",27,10,8
"484","ENSPTRG00000001208",35,14,21
"485","ENSPTRG00000001210",53,30,49
"486","ENSPTRG00000001213",24,15,18
"487","ENSPTRG00000001219",5,1,1
"488","ENSPTRG00000001220",35,5,17
"489","ENSPTRG00000001222",16,6,13
"490","ENSPTRG00000001223",42,14,20
"491","ENSPTRG00000001228",17,4,18
"492","ENSPTRG00000001242",5,2,6
"493","ENSPTRG00000001243",170,82,60
"494","ENSPTRG00000001245",16,7,14
"495","ENSPTRG00000001246",22,12,18
"496","ENSPTRG00000001247",137,60,61
"497","ENSPTRG00000001250",97,66,49
"498","ENSPTRG00000001252",3,7,10
"499","ENSPTRG00000001254",65,33,32
"500","ENSPTRG00000001255",11,7,11
"501","ENSPTRG00000001256",39,17,13
"502","ENSPTRG00000001257",10,4,6
"503","ENSPTRG00000001260",208,60,139
"504","ENSPTRG00000001261",231,90,133
"505","ENSPTRG00000001262",14,9,25
"506","ENSPTRG00000001264",171,118,106
"507","ENSPTRG00000001266",32,19,21
"508","ENSPTRG00000001267",24,17,13
"509","ENSPTRG00000001268",37,15,13
"510","ENSPTRG00000001270",21,3,10
"511","ENSPTRG00000001275",3,3,6
"512","ENSPTRG00000001278",4,3,3
"513","ENSPTRG00000001279",51,36,17
"514","ENSPTRG00000001280",2,1,14
"515","ENSPTRG00000001281",61,48,22
"516","ENSPTRG00000001282",35,33,13
"517","ENSPTRG00000001284",24,10,5
"518","ENSPTRG00000001285",44,18,21
"519","ENSPTRG00000001286",53,39,34
"520","ENSPTRG00000001288",625,217,261
"521","ENSPTRG00000001289",36,19,16
"522","ENSPTRG00000001291",12,2,3
"523","ENSPTRG00000001292",9,3,5
"524","ENSPTRG00000001295",45,28,45
"525","ENSPTRG00000001297",6,2,9
"526","ENSPTRG00000001301",25,9,8
"527","ENSPTRG00000001302",15,3,3
"528","ENSPTRG00000001303",134,66,124
"529","ENSPTRG00000001348",33,30,10
"530","ENSPTRG00000001351",122,92,46
"531","ENSPTRG00000001356",54,36,4
"532","ENSPTRG00000001357",62,31,21
"533","ENSPTRG00000001358",390,171,179
"534","ENSPTRG00000001360",60,19,27
"535","ENSPTRG00000001362",7,1,3
"536","ENSPTRG00000001364",37,15,8
"537","ENSPTRG00000001365",32,16,8
"538","ENSPTRG00000001366",53,58,29
"539","ENSPTRG00000001367",58,32,17
"540","ENSPTRG00000001368",9,7,18
"541","ENSPTRG00000001369",230,164,133
"542","ENSPTRG00000001370",125,59,79
"543","ENSPTRG00000001371",2178,1419,1092
"544","ENSPTRG00000001375",335,148,164
"545","ENSPTRG00000001378",105,66,80
"546","ENSPTRG00000001379",124,81,54
"547","ENSPTRG00000001380",136,97,122
"548","ENSPTRG00000001382",12,5,9
"549","ENSPTRG00000001383",5,1,4
"550","ENSPTRG00000001387",233,133,81
"551","ENSPTRG00000001392",9,6,15
"552","ENSPTRG00000001393",90,30,30
"553","ENSPTRG00000001394",99,51,17
"554","ENSPTRG00000001395",40,8,2
"555","ENSPTRG00000001397",59,20,28
"556","ENSPTRG00000001398",24,10,20
"557","ENSPTRG00000001399",63,16,23
"558","ENSPTRG00000001401",14,6,7
"559","ENSPTRG00000001404",51,5,16
"560","ENSPTRG00000001405",6,4,7
"561","ENSPTRG00000001408",26,12,13
"562","ENSPTRG00000001410",59,42,13
"563","ENSPTRG00000001414",53,24,21
"564","ENSPTRG00000001416",15,12,21
"565","ENSPTRG00000001417",9,19,5
"566","ENSPTRG00000001418",89,50,30
"567","ENSPTRG00000001419",63,26,27
"568","ENSPTRG00000001422",188,77,100
"569","ENSPTRG00000001424",22,6,11
"570","ENSPTRG00000001425",25,15,18
"571","ENSPTRG00000001428",55,31,38
"572","ENSPTRG00000001433",19,11,10
"573","ENSPTRG00000001437",41,52,16
"574","ENSPTRG00000001438",52,32,24
"575","ENSPTRG00000001441",67,31,26
"576","ENSPTRG00000001442",344,244,194
"577","ENSPTRG00000001444",27,15,7
"578","ENSPTRG00000001445",72,34,26
"579","ENSPTRG00000001447",391,109,62
"580","ENSPTRG00000001448",40,27,42
"581","ENSPTRG00000001449",23,17,6
"582","ENSPTRG00000001450",56,18,25
"583","ENSPTRG00000001453",2,4,8
"584","ENSPTRG00000001455",27,21,12
"585","ENSPTRG00000001456",471,174,239
"586","ENSPTRG00000001460",25,23,24
"587","ENSPTRG00000001461",4,1,2
"588","ENSPTRG00000001463",111,33,60
"589","ENSPTRG00000001464",42,23,18
"590","ENSPTRG00000001471",31,40,4
"591","ENSPTRG00000001472",12,5,1
"592","ENSPTRG00000001473",57,29,58
"593","ENSPTRG00000001474",127,54,68
"594","ENSPTRG00000001475",81,41,49
"595","ENSPTRG00000001486",15,9,9
"596","ENSPTRG00000001487",13,8,11
"597","ENSPTRG00000001518",129,76,83
"598","ENSPTRG00000001519",10,6,12
"599","ENSPTRG00000001542",2,1,5
"600","ENSPTRG00000001545",181,119,113
"601","ENSPTRG00000001546",39,22,26
"602","ENSPTRG00000001548",19,9,14
"603","ENSPTRG00000001549",180,134,84
"604","ENSPTRG00000001550",70,30,25
"605","ENSPTRG00000001554",21,22,6
"606","ENSPTRG00000001555",12,10,4
"607","ENSPTRG00000001556",129,81,72
"608","ENSPTRG00000001557",664,495,453
"609","ENSPTRG00000001558",166,206,222
"610","ENSPTRG00000001560",38,9,16
"611","ENSPTRG00000001564",90,46,29
"612","ENSPTRG00000001565",59,26,14
"613","ENSPTRG00000001566",79,28,15
"614","ENSPTRG00000001568",10,4,3
"615","ENSPTRG00000001569",105,45,24
"616","ENSPTRG00000001570",42,23,20
"617","ENSPTRG00000001571",28,11,13
"618","ENSPTRG00000001572",196,75,119
"619","ENSPTRG00000001573",24,10,12
"620","ENSPTRG00000001574",10,4,15
"621","ENSPTRG00000001575",27,12,20
"622","ENSPTRG00000001577",182,75,93
"623","ENSPTRG00000001579",321,15,96
"624","ENSPTRG00000001581",24,7,10
"625","ENSPTRG00000001584",7,5,1
"626","ENSPTRG00000001585",73,33,52
"627","ENSPTRG00000001591",37,22,28
"628","ENSPTRG00000001592",25,10,48
"629","ENSPTRG00000001594",26,13,16
"630","ENSPTRG00000001596",40,29,27
"631","ENSPTRG00000001598",6,1,4
"632","ENSPTRG00000001601",22,15,10
"633","ENSPTRG00000001602",40,19,26
"634","ENSPTRG00000001609",4,3,3
"635","ENSPTRG00000001610",11,2,15
"636","ENSPTRG00000001616",168,61,44
"637","ENSPTRG00000001617",75,35,27
"638","ENSPTRG00000001618",129,81,87
"639","ENSPTRG00000001619",75,24,47
"640","ENSPTRG00000001626",13,16,6
"641","ENSPTRG00000001627",18,10,16
"642","ENSPTRG00000001633",5,2,10
"643","ENSPTRG00000001635",22,7,24
"644","ENSPTRG00000001640",66,27,36
"645","ENSPTRG00000001641",75,51,33
"646","ENSPTRG00000001644",64,25,28
"647","ENSPTRG00000001647",6,5,13
"648","ENSPTRG00000001653",165,50,70
"649","ENSPTRG00000001655",31,27,16
"650","ENSPTRG00000001658",6,6,6
"651","ENSPTRG00000001664",7,3,5
"652","ENSPTRG00000001665",17,13,14
"653","ENSPTRG00000001666",47,24,26
"654","ENSPTRG00000001667",13,11,11
"655","ENSPTRG00000001668",43,40,12
"656","ENSPTRG00000001678",63,47,30
"657","ENSPTRG00000001680",9,6,3
"658","ENSPTRG00000001682",29,11,4
"659","ENSPTRG00000001684",3,1,12
"660","ENSPTRG00000001687",5,13,15
"661","ENSPTRG00000001689",10,9,16
