"gene","Guchi","Jaqo","Jingjing"
"383","ENSPPYG00000001171",23,36,6
"384","ENSPPYG00000001172",40,69,66
"385","ENSPPYG00000001174",24,95,13
"386","ENSPPYG00000001176",23,38,8
"387","ENSPPYG00000001178",20,66,30
"388","ENSPPYG00000001180",4,10,11
"389","ENSPPYG00000001181",18,26,24
"390","ENSPPYG00000001184",37,40,15
"391","ENSPPYG00000001185",64,82,18
"392","ENSPPYG00000001189",6,13,24
"393","ENSPPYG00000001191",29,33,10
"394","ENSPPYG00000001197",3,2,13
"395","ENSPPYG00000001199",57,72,18
"396","ENSPPYG00000001201",10,12,4
"397","ENSPPYG00000001203",10,18,6
"398","ENSPPYG00000001205",80,111,242
"399","ENSPPYG00000001206",41,49,89
"400","ENSPPYG00000001214",2,7,23
"401","ENSPPYG00000001217",12,24,7
"402","ENSPPYG00000001219",90,79,20
"403","ENSPPYG00000001221",3,4,13
"404","ENSPPYG00000001222",10,21,12
"405","ENSPPYG00000001225",8,11,9
"406","ENSPPYG00000001230",43,79,80
"407","ENSPPYG00000001231",32,75,8
"408","ENSPPYG00000001234",23,25,22
"409","ENSPPYG00000001235",43,49,10
"410","ENSPPYG00000001237",10,6,15
"411","ENSPPYG00000001240",37,51,12
"412","ENSPPYG00000001242",5,13,24
"413","ENSPPYG00000001244",15,18,10
"414","ENSPPYG00000001245",55,84,22
"415","ENSPPYG00000001246",17,25,2
"416","ENSPPYG00000001253",12,1,2
"417","ENSPPYG00000001254",8,51,27
"418","ENSPPYG00000001256",262,291,195
"419","ENSPPYG00000001257",24,22,30
"420","ENSPPYG00000001261",7,12,1
"421","ENSPPYG00000001266",2,32,8
"422","ENSPPYG00000001269",14,30,3
"423","ENSPPYG00000001270",63,116,7
"424","ENSPPYG00000001276",4,5,9
"425","ENSPPYG00000001277",7,10,17
"426","ENSPPYG00000001279",11,14,11
"427","ENSPPYG00000001280",6,8,7
"428","ENSPPYG00000001284",20,21,1
"429","ENSPPYG00000001288",14,11,14
"430","ENSPPYG00000001294",7,4,22
"431","ENSPPYG00000001298",9,9,6
"432","ENSPPYG00000001305",17,30,9
"433","ENSPPYG00000001308",38,30,13
"434","ENSPPYG00000001312",16,16,6
"435","ENSPPYG00000001316",7,19,8
"436","ENSPPYG00000001318",72,76,326
"437","ENSPPYG00000001320",3,2,6
"438","ENSPPYG00000001323",4,24,7
"439","ENSPPYG00000001324",26,39,49
"440","ENSPPYG00000001330",8,14,14
"441","ENSPPYG00000001331",9,10,7
"442","ENSPPYG00000001334",5,10,5
"443","ENSPPYG00000001335",61,74,116
"444","ENSPPYG00000001336",6,19,37
"445","ENSPPYG00000001340",28,38,28
"446","ENSPPYG00000001341",5,13,22
"447","ENSPPYG00000001346",2,10,11
"448","ENSPPYG00000001347",8,16,12
"449","ENSPPYG00000001348",62,71,72
"450","ENSPPYG00000001349",14,5,11
"451","ENSPPYG00000001351",23,18,6
"452","ENSPPYG00000001352",14,8,6
"453","ENSPPYG00000001353",26,50,36
"454","ENSPPYG00000001354",28,28,16
"455","ENSPPYG00000001357",48,66,70
"456","ENSPPYG00000001358",28,58,20
"457","ENSPPYG00000001359",21,33,4
"458","ENSPPYG00000001360",2,4,5
"459","ENSPPYG00000001365",12,49,11
"460","ENSPPYG00000001368",4,1,8
"461","ENSPPYG00000001380",108,128,15
"462","ENSPPYG00000001389",27,60,10
"463","ENSPPYG00000001391",13,29,21
"464","ENSPPYG00000001392",5,11,3
"465","ENSPPYG00000001397",35,42,58
"466","ENSPPYG00000001398",5,5,15
"467","ENSPPYG00000001400",18,22,12
"468","ENSPPYG00000001403",6,7,6
"469","ENSPPYG00000001404",5,2,13
"470","ENSPPYG00000001407",28,44,34
"471","ENSPPYG00000001408",3,3,9
"472","ENSPPYG00000001409",42,53,81
"473","ENSPPYG00000001410",29,36,171
"474","ENSPPYG00000001411",321,262,1193
"475","ENSPPYG00000001413",3,8,2
"476","ENSPPYG00000001415",4,15,19
"477","ENSPPYG00000001419",49,44,142
"478","ENSPPYG00000001420",31,33,3
"479","ENSPPYG00000001421",17,15,60
"480","ENSPPYG00000001426",1206,2460,2465
"481","ENSPPYG00000001427",10,11,45
"482","ENSPPYG00000001429",5,2,13
"483","ENSPPYG00000001430",34,38,22
"484","ENSPPYG00000001431",18,17,39
"485","ENSPPYG00000001432",15,24,123
"486","ENSPPYG00000001435",1,4,10
"487","ENSPPYG00000001437",9,19,27
"488","ENSPPYG00000001438",76,63,243
"489","ENSPPYG00000001439",19,45,22
"490","ENSPPYG00000001440",4,4,7
"491","ENSPPYG00000001442",15,22,3
"492","ENSPPYG00000001445",5,9,48
"493","ENSPPYG00000001447",67,49,25
"494","ENSPPYG00000001448",20,23,95
"495","ENSPPYG00000001450",23,20,21
"496","ENSPPYG00000001456",90,72,181
"497","ENSPPYG00000001458",7,23,9
"498","ENSPPYG00000001461",14,19,45
"499","ENSPPYG00000001463",11,12,16
"500","ENSPPYG00000001464",8,15,4
"501","ENSPPYG00000001466",456,218,497
"502","ENSPPYG00000001467",30,40,115
"503","ENSPPYG00000001470",1,4,12
"504","ENSPPYG00000001475",2,1,1
"505","ENSPPYG00000001478",4,6,10
"506","ENSPPYG00000001480",54,54,13
"507","ENSPPYG00000001483",15,21,10
"508","ENSPPYG00000001490",63,93,38
"509","ENSPPYG00000001491",4,8,10
"510","ENSPPYG00000001494",1,5,11
"511","ENSPPYG00000001495",88,94,10
"512","ENSPPYG00000001497",11,23,46
"513","ENSPPYG00000001499",28,37,11
"514","ENSPPYG00000001501",38,52,87
"515","ENSPPYG00000001506",160,151,98
"516","ENSPPYG00000001507",2,10,25
"517","ENSPPYG00000001509",25,22,17
"518","ENSPPYG00000001510",56,123,347
"519","ENSPPYG00000001511",26,53,8
"520","ENSPPYG00000001515",23,14,14
"521","ENSPPYG00000001516",48,27,31
"522","ENSPPYG00000001517",40,45,20
"523","ENSPPYG00000001518",7,20,7
"524","ENSPPYG00000001519",63,90,81
"525","ENSPPYG00000001520",15,17,6
"526","ENSPPYG00000001523",59,49,21
"527","ENSPPYG00000001526",14,10,10
"528","ENSPPYG00000001529",66,34,83
"529","ENSPPYG00000001537",91,109,286
"530","ENSPPYG00000001538",3,6,6
"531","ENSPPYG00000001540",11,28,7
"532","ENSPPYG00000001544",27,103,20
"533","ENSPPYG00000001545",35,53,33
"534","ENSPPYG00000001546",53,34,118
"535","ENSPPYG00000001548",15,27,33
"536","ENSPPYG00000001550",2,5,1
"537","ENSPPYG00000001551",6,8,3
"538","ENSPPYG00000001552",5,6,22
"539","ENSPPYG00000001553",5,3,7
"540","ENSPPYG00000001555",145,147,413
"541","ENSPPYG00000001558",5,11,1
"542","ENSPPYG00000001560",169,275,129
"543","ENSPPYG00000001573",12,14,13
"544","ENSPPYG00000001579",87,99,66
"545","ENSPPYG00000001580",30,62,38
"546","ENSPPYG00000001581",2,2,36
"547","ENSPPYG00000001584",11,9,18
"548","ENSPPYG00000001585",68,72,78
"549","ENSPPYG00000001588",124,100,15
"550","ENSPPYG00000001589",27,26,16
