"name","family","class","Judith","Leo","Maryke"
"404","LOR1b","ERV1","LTR",317,153,68
"405","LSAU","Satellite","Satellite",188,132,82
"406","LTR06","ERV1","LTR",60,4,6
"407","LTR101_Mam","ERVL","LTR",141,67,29
"408","LTR102_Mam","ERVL","LTR",160,91,61
"409","LTR103_Mam","ERV1","LTR",258,146,82
"410","LTR103b_Mam","ERV1","LTR",248,95,51
"411","LTR104_Mam","Gypsy","LTR",399,150,90
"412","LTR105_Mam","ERVL","LTR",131,32,3
"413","LTR106_Mam","LTR","LTR",106,23,29
"414","LTR107_Mam","LTR","LTR",69,25,7
"415","LTR108a_Mam","ERVL","LTR",59,14,0
"416","LTR108b_Mam","ERVL","LTR",3,0,18
"417","LTR108c_Mam","ERVL","LTR",12,3,0
"418","LTR108d_Mam","ERVL","LTR",0,1,0
"419","LTR108e_Mam","ERVL","LTR",18,7,22
"420","LTR109A2","ERV1","LTR",19,5,5
"421","LTR10A","ERV1","LTR",152,68,42
"422","LTR10B1","ERV1","LTR",18,4,1
"423","LTR10B2","ERV1","LTR",46,10,16
"424","LTR10B","ERV1","LTR",27,2,6
"425","LTR10C","ERV1","LTR",399,116,79
"426","LTR10D","ERV1","LTR",835,240,327
"427","LTR10E","ERV1","LTR",61,15,11
"428","LTR10F","ERV1","LTR",132,27,28
"429","LTR10G","ERV1","LTR",24,2,7
"430","LTR12","ERV1","LTR",666,390,189
"431","LTR12B","ERV1","LTR",84,21,3
"432","LTR12C","ERV1","LTR",4788,1880,1488
"433","LTR12D","ERV1","LTR",364,138,89
"434","LTR12E","ERV1","LTR",78,39,23
"435","LTR12F","ERV1","LTR",179,86,34
"436","LTR12_","ERV1","LTR",133,40,28
"437","LTR13","ERVK","LTR",330,91,38
"438","LTR13A","ERVK","LTR",143,33,32
"439","LTR13_","ERVK","LTR",19,8,2
"440","LTR14","ERVK","LTR",47,10,3
"441","LTR14A","ERVK","LTR",16,9,1
"442","LTR14B","ERVK","LTR",68,32,12
"443","LTR14C","ERVK","LTR",23,9,7
"444","LTR15","ERV1","LTR",205,57,7
"445","LTR16","ERVL","LTR",1233,576,336
"446","LTR16A1","ERVL","LTR",1273,677,551
"447","LTR16A2","ERVL","LTR",2071,880,399
"448","LTR16A","ERVL","LTR",1717,718,416
"449","LTR16B1","ERVL","LTR",366,165,41
"450","LTR16B2","ERVL","LTR",673,311,208
"451","LTR16B","ERVL","LTR",202,55,51
"452","LTR16C","ERVL","LTR",3326,1595,1009
"453","LTR16D1","ERVL","LTR",473,250,265
"454","LTR16D2","ERVL","LTR",56,16,17
"455","LTR16D","ERVL","LTR",231,92,30
"456","LTR16E1","ERVL","LTR",688,233,189
"457","LTR16E2","ERVL","LTR",1498,741,451
"458","LTR17","ERV1","LTR",493,169,112
"459","LTR18A","ERVL","LTR",10,5,0
"460","LTR18B","ERVL","LTR",72,29,0
"461","LTR18C","ERVL","LTR",2,0,0
"462","LTR19-int","ERV1","LTR",75,12,11
"463","LTR19A","ERV1","LTR",336,185,104
"464","LTR19B","ERV1","LTR",344,167,32
"465","LTR19C","ERV1","LTR",56,41,49
"466","LTR1","ERV1","LTR",125,125,41
"467","LTR1A1","ERV1","LTR",293,115,55
"468","LTR1A2","ERV1","LTR",2384,664,711
"469","LTR1B0","ERV1","LTR",31,5,8
"470","LTR1B1","ERV1","LTR",135,52,16
"471","LTR1B","ERV1","LTR",309,144,99
"472","LTR1C1","ERV1","LTR",33,8,32
"473","LTR1C3","ERV1","LTR",32,12,1
"474","LTR1C","ERV1","LTR",1094,634,482
"475","LTR1D1","ERV1","LTR",159,72,13
"476","LTR1D","ERV1","LTR",75,27,23
"477","LTR1E","ERV1","LTR",147,64,60
"478","LTR1F1","ERV1","LTR",211,125,57
"479","LTR1F2","ERV1","LTR",78,7,15
"480","LTR1F","ERV1","LTR",13,3,3
"481","LTR21A","ERV1","LTR",71,7,0
"482","LTR21B","ERV1","LTR",0,0,0
"483","LTR21C","ERV1","LTR",0,0,0
"484","LTR22","ERVK","LTR",17,11,9
"485","LTR22A","ERVK","LTR",69,24,4
"486","LTR22B1","ERVK","LTR",7,8,0
"487","LTR22B2","ERVK","LTR",7,0,0
"488","LTR22B","ERVK","LTR",46,43,17
"489","LTR22C0","ERVK","LTR",25,37,10
"490","LTR22C2","ERVK","LTR",5,1,0
"491","LTR22C","ERVK","LTR",0,0,0
"492","LTR22E","ERVK","LTR",17,15,4
"493","LTR23-int","ERV1","LTR",19,3,4
"494","LTR23","ERV1","LTR",185,73,59
"495","LTR24","ERV1","LTR",309,105,63
"496","LTR24B","ERV1","LTR",95,14,13
"497","LTR24C","ERV1","LTR",194,34,54
"498","LTR25-int","ERV1","LTR",81,32,35
"499","LTR25","ERV1","LTR",27,8,22
"500","LTR26","ERV1","LTR",182,66,46
"501","LTR26B","ERV1","LTR",67,26,3
"502","LTR26E","ERV1","LTR",85,39,29
"503","LTR2752","ERV1","LTR",47,11,4
"504","LTR27","ERV1","LTR",148,56,7
"505","LTR27B","ERV1","LTR",64,14,9
"506","LTR27C","ERV1","LTR",24,7,5
"507","LTR27D","ERV1","LTR",31,32,4
"508","LTR27E","ERV1","LTR",40,10,9
"509","LTR28","ERV1","LTR",323,202,98
"510","LTR28B","ERV1","LTR",78,26,35
"511","LTR28C","ERV1","LTR",90,36,22
"512","LTR29","ERV1","LTR",154,52,65
"513","LTR2","ERV1","LTR",449,186,95
"514","LTR2B","ERV1","LTR",146,59,22
"515","LTR2C","ERV1","LTR",118,46,13
"516","LTR30","ERV1","LTR",10,2,2
"517","LTR31","ERV1","LTR",311,135,100
"518","LTR32","ERVL","LTR",553,157,105
"519","LTR33","ERVL","LTR",3876,1582,870
"520","LTR33A","ERVL","LTR",1794,816,756
"521","LTR33A_","ERVL","LTR",557,221,169
"522","LTR33B","ERVL","LTR",205,114,56
"523","LTR33C","ERVL","LTR",125,51,53
"524","LTR34","ERV1","LTR",115,73,64
"525","LTR35","ERV1","LTR",5,2,0
"526","LTR35A","ERV1","LTR",87,60,28
"527","LTR35B","ERV1","LTR",42,7,20
"528","LTR36","ERV1","LTR",116,55,37
"529","LTR37-int","ERV1","LTR",378,144,111
"530","LTR37A","ERV1","LTR",982,488,220
"531","LTR37B","ERV1","LTR",488,189,72
"532","LTR38-int","ERV1","LTR",52,18,13
"533","LTR38","ERV1","LTR",32,7,10
"534","LTR38A1","ERV1","LTR",23,4,16
"535","LTR38B","ERV1","LTR",15,4,2
"536","LTR38C","ERV1","LTR",59,16,18
"537","LTR39-int","ERV1","LTR",68,13,5
"538","LTR39","ERV1","LTR",284,80,74
"539","LTR3","ERVK","LTR",405,174,108
"540","LTR3A","ERVK","LTR",52,25,9
"541","LTR3B","ERVK","LTR",62,6,9
"542","LTR3B_","ERVK","LTR",34,9,0
"543","LTR40A1","ERVL","LTR",197,96,45
"544","LTR40a","ERVL","LTR",337,120,96
